the problem likely will mean corrective changes before the shuttle fleet starts flying again .	he said the problem needs to be corrected before the space shuttle fleet is cleared to fly again .	4.400
but they were necessary .	but they were necessary .	5.000
ahmadinejad is embarking on an adventure ; bernanke is not .	ahmadinejad has embarque in an adventure , not bernanke .	4.750
but , like the union itself , it will be built and it will be done .	but just as the european union itself , and this will happen .	3.750
putin , too , also seems to suspect his regime 's impotence .	putin , also , seems to him to suspect the impotence of its mode .	4.000
indeed , intolerance goes right to the top of the turkish government .	it is undeniable that intolerance reached to the heights of turkish government .	4.500
those who know little about modern factory farming may wonder why such legislation would be necessary .	perhaps those which do not know the methods of intensive breeding will astonish by the need for such a legislation .	4.000
a prominent chinese businessman who divides his time between hong-kong and london was even more specific .	an influential chinese businessman , who shares his time between hong kong and london , was even more specific .	4.750
in other areas , sharia law is being introduced by force .	in other areas , sharia law is imposed .	4.250
he did , but the initiative did not get very far .	what it has done without initiative go very far .	4.750
this has left the conservative opposition without an effective response .	that leaves the opposition and without any effective response .	4.000
but if europe 's performance continues to decline , would this perception survive ?	but this image further decline can survive ?	2.750
but america 's interest in iraqi oil was not driven either by economics or energy policy .	but the interests of america for iraqi oil is not dictated by the economy or by energy policy .	5.000
some results are remarkable .	some results .	2.250
gays and other " modern " practices are rejected as self-indulgent .	the gays and others practical " modern " are rejected , because nombrilists .	3.750
the old version of the european response -- what psychologists might call " dollar envy " -- will only become more acute .	the old version of the european reaction ( what psychologists call " 's desire dollar " ) will become more pervasive .	5.000
ahmadinejad is embarking on an adventure ; bernanke is not .	ahmadinejad is embarking upon an adventure , bernanke .	3.500
foremost among these is that economic development is largely in the hands of poor nations themselves .	at the forefront of these lessons , one discovers that economic development is largely in the hands of poor nations themselves .	4.750
a europe for all	a europe for all	4.714
gays and other " modern " practices are rejected as self-indulgent .	the gay and other practices " modern " are rejected , because nombrilistes .	3.500
iraq 's future depends directly on the fate of iraqi oil production .	the future of iraq is linked to the country .	3.250
the people versus putin	the people against putin	5.000
what we are witnessing today is a shift from a muslim identity to an islamist identity .	we attend today the change of a moslem identity for an islamist identity .	5.000
jobs , in particular , will help young people to create new lives through serious work .	employment , in particular , would help young people to forge new lives through serious employment .	5.000
that is the spirit in which the european constitution must be written .	that is the spirit in which must be drawn up the constitution .	3.750
moreover , the main oil exporters are unwilling to subordinate their investment policies to market requirements .	moreover , the major oil exporters are not prepared to submit their investment policies under market conditions .	4.000
ahmadinejad is embarking on an adventure ; bernanke is not .	ahmadinejad board in an adventure , not bernanke	5.000
foremost among these is that economic development is largely in the hands of poor nations themselves .	the first of these lessons , we discovered that economic development is largely left in the hands of poor nations themselves .	4.250
in other areas , sharia law is being introduced by force .	in other areas , the charia is imposed .	3.750
being a muslim and being an islamist are not the same thing .	etre muslim and be islamic are two different things .	4.000
he did , but the initiative did not get very far .	what happened the initiative does not go very far .	3.500
they are ignorant , poor , and sick .	they are poor , sick and uncultivated .	4.800
it then appointed a task force to formulate the necessary changes in tax and spending policies .	it then named an work group charged to formulate the changes necessary to bring to the policies public expenditure and to the fiscal policies .	4.000
the bottom line is that when interest rates rise , asset values will fall .	the bottom line is that when interest rates go up , the values of credit fall .	5.000
but , like the union itself , it will be built and it will be done .	but like the eu itself , this will be built and this will happen .	4.250
the old version of the european response -- what psychologists might call " dollar envy " -- will only become more acute .	the former version of the european reaction ( what psychologists call ` envy the dollar ' ) will only most perceptively .	5.000
the questions are many .	there are many questions .	4.800
putin , too , also seems to suspect his regime 's impotence .	putin , too , seems accuse the powerlessness of his regime .	4.750
this tendency extends deeper than headscarves .	this trend goes well beyond simple scarves .	4.500
will it give us the right to divorce the husbands who abandon us ?	their would give the right to divorce the husbands who would have given up them ?	4.000
it then appointed a task force to formulate the necessary changes in tax and spending policies .	it was then appointed a working party to make the necessary changes to policies of public spending and tax policies .	5.000
they are ignorant , poor , and sick .	they are uncultivated , poor and sick .	4.600
it then appointed a task force to formulate the necessary changes in tax and spending policies .	then he appointed a working party to make the necessary changes to the policies of public spending and fiscal policies .	4.750
but the returns that make us stock markets so attractive reflect a delicate political balance .	but the returns which make markets american securities so attractive reflect a fragile political balance .	5.000
the people versus putin	the people against putin	5.000
indeed , the french philosopher marcel gauchet entitled a recent book democracy against itself .	they may also note that the french philosopher marcel gauchet called one of these recent its democracy against itself .	4.500
this tendency extends deeper than headscarves .	this tendency goes well beyond the simple scarves .	4.500
but america 's interest in iraqi oil was not driven either by economics or energy policy .	but america 's interest for iraqi oil is not dictated by the economy or by energy policy .	5.000
ahmadinejad is embarking on an adventure ; bernanke is not .	ahmadinejad boards in an adventure , then .	3.500
but america 's interest in iraqi oil was not driven either by economics or energy policy .	but america 's interest to iraqi oil is not dictated by the economy or by energy policy .	4.750
the answer lies in the support that indonesian pro-democracy activists can generate domestically and internationally .	the answer lies in the support that all will be able to generate nationally and internationally .	3.500
more than that , the divisions are reproduced at the local level .	beyond the geographical division , the divisions occur at local level .	4.500
the bottom line is that when interest rates rise , asset values will fall .	the important thing is that when interest rates amount , the values of the active fall .	4.250
today 's great pax europa and today 's pan-european prosperity depend on this .	big pax europe of today , like current prosperity pan-european , depends on it .	5.000
but if europe 's performance continues to decline , would this perception survive ?	but this picture can survive a continuing decline ?	2.500
in other areas , sharia law is being introduced by force .	in other regions , the sharia is imposed .	4.250
the president has fewer powers than it seems , overshadowed particularly by supreme guide ayatollah ali khamenei .	president has fewer powers than it appears to be , and it is this particuli rement overshadowed by the guide supr to me ayatollah ali khamenei .	4.250
other ways are needed .	we must find other ways .	4.400
a prominent chinese businessman who divides his time between hong-kong and london was even more specific .	a man of influential , which shares his time between hong kong and london , has even been more precise .	4.750
they are ignorant , poor , and sick .	they are poor , sick and uncultivated .	4.800
a defeat on alstom would have profound consequences in europe -- and not only for competition policy .	waste on the question of the alstom group would have serious repercussions in europe and not only for the policies on competition .	3.750
indeed , the french philosopher marcel gauchet entitled a recent book democracy against itself .	we can also see that the french philosopher marcel gauchet entitled one recent books democracy against itself .	5.000
each side had quite different theories and explanations of what was going on .	each protagonist had appreciably different theories and explanations on the situation .	4.750
the book 's success is itself a sign of a kind of " malaise . "	the success of the book is in itself a sign of ` malaise . "	4.750
more than that , the divisions are reproduced at the local level .	beyond geographical division , divisions reproduce at the local level .	4.200
and , perhaps most importantly , ahmadinejad is a destabilizing influence ; bernanke is not .	and , perhaps most importantly , ahmadinejad influence destabilizing , not bernanke .	5.000
other ways are needed .	other means should be found .	4.600
this has left the conservative opposition without an effective response .	this leaves opposition conservative without effective response .	4.750
moreover , the main oil exporters are unwilling to subordinate their investment policies to market requirements .	what is more , the large oil exporters are not prepared to submit their investment policies to market conditions .	4.750
only a month ago , mubarak dismissed demands for constitutional reform as " futile . "	only a month ago , muybarak écartait for constitutional reform in the taxing of " futile .	4.500
the book 's success is itself a sign of a kind of " malaise . "	the success of the book constitutes in itself a sign of " faintness " .	3.250
other ways are needed .	we must find other ways .	4.400
jobs , in particular , will help young people to create new lives through serious work .	employment , in particular , would help the young people to forge new lives thanks to serious employment .	4.500
putin , too , also seems to suspect his regime 's impotence .	putin , too , seems suspicion powerlessness of his regime .	4.500
this gross error is leading russia to political ruin .	and this great mistake is russia to ruin its policy .	4.000
each time , radical improvements in technology made the threat evaporate .	each time , of radicals technological advancements made fly away these threats .	4.333
but they were necessary .	but they were necessary .	5.000
a europe for all	a europe for all	5.000
but they were necessary .	but they were needed .	5.000
this is a clear if implicit repudiation of mubarak , the sole ruler for 24 years .	it has been an implicit but clear repudiation of mubarak , only head of state for 24 years .	4.750
each side had quite different theories and explanations of what was going on .	every leader had theories and markedly different explanations regarding the situation .	4.750
what we are witnessing today is a shift from a muslim identity to an islamist identity .	we are now witnessing the change of muslim identity for an islamic identity .	5.000
more than that , the divisions are reproduced at the local level .	beyond the geographical division , the divisions recur at local level .	4.000
a defeat on alstom would have profound consequences in europe -- and not only for competition policy .	losing of alstom would have serious repercussions in europe and not just for policies on competition .	4.750
this is a clear if implicit repudiation of mubarak , the sole ruler for 24 years .	this is an implicit but clear répudiation of mubarak , only head of state for 24 years .	4.500
the book 's success is itself a sign of a kind of " malaise . "	the success of the paper is itself a sign of malaise " .	4.500
a defeat on alstom would have profound consequences in europe -- and not only for competition policy .	to lose on the question of alstom would have serious effects in europe and not only for the policies on competition .	4.250
yet a process of de-institutionalization of religious experience is also taking place within islam .	however , a process of desinstitutionalisation of the religious experiment also occurs within islam .	4.750
ahmadinejad is embarking on an adventure ; bernanke is not .	ahmadinejad embarks in an adventure , not bernanke .	5.000
that is the spirit in which the european constitution must be written .	such is the spirit in which must be elaborate the european constitution .	4.750
but from the american point of view , the international role of the dollar was a trap .	but the view us the international role of the dollar was a trap .	4.250
last year he was wanted for murder .	last year it was sought for murder .	3.600
last year he was wanted for murder .	last year it was sought for murder .	3.600
and , perhaps most importantly , ahmadinejad is a destabilizing influence ; bernanke is not .	and , perhaps the most important , the destabilising influence , not then .	2.750
being a muslim and being an islamist are not the same thing .	to be moslem and be islamiste are two different things .	5.000
the bottom line is that when interest rates rise , asset values will fall .	the most important thing , however , is that when the rate of interest , the values .	3.750
more than that , the divisions are reproduced at the local level .	beyond geographical division , divisions reproduce at the local level .	4.200
will it give us the right to divorce the husbands who abandon us ?	their donnerait-elle divorce law spouses who would have abandoned ?	3.500
tocqueville believed that there are no effective long-term constraints on this tendency .	tocqueville believed that in the long term , nothing can really object to this trend .	4.000
but they were necessary .	but they were necessary .	5.000
iraq 's future depends directly on the fate of iraqi oil production .	the future of iraq is linked to the oil production in the country .	5.000
this has left the conservative opposition without an effective response .	this leaves the conservative opposition without any effective response .	5.000
iraq 's future depends directly on the fate of iraqi oil production .	iraq 's future is linked to oil production of the country .	5.000
but the returns that make us stock markets so attractive reflect a delicate political balance .	but the returns that make us markets of securities if attractive reflect a fragile political balance .	5.000
yet a process of de-institutionalization of religious experience is also taking place within islam .	however , a process of deinstitutionalisation of religious experience also happens within islam .	5.000
putin , too , also seems to suspect his regime 's impotence .	putin , too , seems to suspect the powerlessness of his regime .	4.750
none of this absolves rich countries of their responsibility to help .	that does not , however , the rich countries of their obligation to help .	4.250
today 's great pax europa and today 's pan-european prosperity depend on this .	the great pax europe of today , as prosperity pan-european today , depends on it .	5.000
indeed , intolerance goes right to the top of the turkish government .	it is undeniable that intolerance reached until the tops of the turkish government .	4.500
moreover , the main oil exporters are unwilling to subordinate their investment policies to market requirements .	what is more , the situation of oil are not prepared to submit their policies of investment to market conditions .	3.250
this gross error is leading russia to political ruin .	and this important mistaken is leading russia to its political ruin .	5.000
pro-market economists do n't object to corporations that blatantly use snob appeal to promote their products .	economists pro market does not oppose companies which use openly the attractiveness of luxury to promote their products .	4.500
the president has fewer powers than it seems , overshadowed particularly by supreme guide ayatollah ali khamenei .	the president has fewer powers than it they may seem , special to reviving is special to reviving overshadowed by guide supreme to me the ayatollah ali khamenei .	4.500
the questions are many .	there are many questions .	4.800
a prominent chinese businessman who divides his time between hong-kong and london was even more specific .	a businessman chinese influential , who share his time between hong kong and london , was even more precise .	5.000
foremost among these is that economic development is largely in the hands of poor nations themselves .	on top of these lessons , we discover that economic development is left largely in the hands of poor nations themselves .	4.500
the people versus putin	the people against putin	5.000
that is the spirit in which the european constitution must be written .	that is the spirit in which must be developed the european constitution .	4.750
some results are remarkable .	some results are remarkable .	5.000
this is a clear if implicit repudiation of mubarak , the sole ruler for 24 years .	it has been an implicit but clear repudiation of mubarak , only head of state for 24 years .	4.750
but from the american point of view , the international role of the dollar was a trap .	but the us point of view , the international role of the dollar was a trap .	5.000
the old version of the european response -- what psychologists might call " dollar envy " -- will only become more acute .	the former version of the european reaction ( the desire called " the desire of the " ) " .	4.000
pro-market economists do n't object to corporations that blatantly use snob appeal to promote their products .	the economists pro-market do not oppose the companies which openly use the attraction of the luxury to promote their products .	4.750
ahmadinejad is embarking on an adventure ; bernanke is not .	ahmadinejad are embarking on an adventure , not bernanke .	5.000
more than that , the divisions are reproduced at the local level .	beyond the geographical division , at local level .	3.750
indeed , intolerance goes right to the top of the turkish government .	it is undeniable that intolerance reached summits of the turkish government .	4.750
the political stock market	the politization of the markets of the transferable securities	2.250
iraq 's future depends directly on the fate of iraqi oil production .	the future of iraq is linked to oil production .	5.000
this tendency extends deeper than headscarves .	this trend goes well beyond simple scarves .	4.500
indeed , intolerance goes right to the top of the turkish government .	it is undeniable that intolerance reached until the heights of the turkish government .	4.500
indeed , the french philosopher marcel gauchet entitled a recent book democracy against itself .	we can also note that the french philosopher , marcel gauchet has called one of these recent books democracy against itself .	4.667
being a muslim and being an islamist are not the same thing .	to be muslim and islamic are two different things .	5.000
in other areas , sharia law is being introduced by force .	in other regions , the sharia is imposed .	4.250
indeed , the french philosopher marcel gauchet entitled a recent book democracy against itself .	one can also note that the french philosopher marcel gauchet entitled one of these recent books the democracy against itself .	4.667
iraq 's future depends directly on the fate of iraqi oil production .	the future of iraq is linked to the oil production .	5.000
in other areas , sharia law is being introduced by force .	in other regions , the sharia is imposed .	4.750
what we are witnessing today is a shift from a muslim identity to an islamist identity .	we are witnessing today to change a muslim identity for an islamic identity .	5.000
those who know little about modern factory farming may wonder why such legislation would be necessary .	those who do not know the intensive farming methods will be astonished perhaps the need for such legislation .	4.000
indeed , the french philosopher marcel gauchet entitled a recent book democracy against itself .	we can also note that the french philosopher marcel gauchet entitled the recent books against democracy itself .	4.500
this tendency extends deeper than headscarves .	this tendency goes well beyond simple .	2.250
this is a clear if implicit repudiation of mubarak , the sole ruler for 24 years .	it is an implicit but but clearly , the head of state for 24 years .	3.750
but they were necessary .	but they were necessary .	5.000
but us stock prices fell only 5.2 % between may 9 and may 24 .	however , the american courts accused a reduction of 5.2 % between 9 and on 24 may .	3.000
the bottom line is that when interest rates rise , asset values will fall .	the key is that when interest rates go up , the values of active fall .	4.750
a defeat on alstom would have profound consequences in europe -- and not only for competition policy .	losing on the issue of alstom would have serious repercussions in europe and not only for the policies on competition .	4.750
tocqueville believed that there are no effective long-term constraints on this tendency .	tocqueville thought that on the long run , nothing can be really opposed to this tendency .	4.500
will it give us the right to divorce the husbands who abandon us ?	a couple who have left ?	1.000
but us stock prices fell only 5.2 % between may 9 and may 24 .	however , the americans have accused that lower 5.2 % between 9 and on 24 may .	3.250
he did , but the initiative did not get very far .	what it did without the initiative not going very far .	3.500
but other sources close to the sale said vivendi was keeping the door open to further bids and hoped to see bidders interested in individual assets team up .	but other sources close to the sale said vivendi was keeping the door open for further bids in the next day or two .	4.000
micron has declared its first quarterly profit for three years .	micron 's numbers also marked the first quarterly profit in three years for the dram manufacturer .	3.750
the fines are part of failed republican efforts to force or entice the democrats to return .	perry said he backs the senate 's efforts , including the fines , to force the democrats to return .	2.800
the american anglican council , which represents episcopalian conservatives , said it will seek authorization to create a separate group .	the american anglican council , which represents episcopalian conservatives , said it will seek authorization to create a separate province in north america because of last week 's actions .	3.400
the tech-loaded nasdaq composite rose 20.96 points to 1595.91 , ending at its highest level for 12 months .	the technology-laced nasdaq composite index < . ixic > climbed 19.11 points , or 1.2 percent , to 1,615.02 .	2.400
amgen shares gained 93 cents , or 1.45 percent , to $ 65.05 in afternoon trading on nasdaq .	shares of allergan were up 14 cents at $ 78.40 in late trading on the new york stock exchange .	1.333
u.s. prosecutors have arrested more than 130 individuals and have seized more than $ 17 million in a continuing crackdown on internet fraud and abuse .	more than 130 people have been arrested and $ 17 million worth of property seized in an internet fraud sweep announced friday by three u.s. government agencies .	4.600
chavez said investigators feel confident they 've got " at least one of the fires resolved in that regard . "	albuquerque mayor martin chavez said investigators felt confident that with the arrests they had " at least one of the fires resolved . "	3.800
authorities said the scientist properly quarantined himself at home after he developed sars symptoms dec. 10 .	the scientist also quarantined himself at home as soon as he developed sars symptoms , officials said .	4.200
the support will come as a free software upgrade called webvpn for current customers that have support contracts .	the upgrade will be available as a free download for current customers with smarnet support in january 2004 .	2.600
the man accused of using fake grenades to commandeer a cuban plane that landed in key west in april was sentenced friday to 20 years in prison .	a cuban architect was sentenced to 20 years in prison friday for using two fake grenades to hijack a passenger plane from cuba to florida in april .	4.400
jim williams , director of the us-visit project , said that by the middle of november , many arriving passengers in atlanta will be fingerprinted and photographed .	jim williams , director of the us-visit project , said that by the middle of november , inspectors will be fingerprinting and photographing many foreign passengers arriving in atlanta .	4.200
the hearing occurred a day after the pentagon for the first time singled out an officer , dallager , for not addressing the scandal .	the hearing came one day after the pentagon for the first time singled out an officer - dallager - for failing to address the scandal .	5.000
the episcopal church " is alienating itself from the anglican communion , " said the very rev. peter karanja , provost of the all saints cathedral , in nairobi .	in nairobi , the provost of all saints cathedral , the very reverend peter karanja , said the us episcopal church was alienating itself from the anglican communion .	5.000
counties with population declines will be vermillion , posey and madison .	vermillion , posey and madison county populations will decline .	5.000
swartz , indicted in february , had argued that new hampshire was the wrong place to charge him .	swartz had sought to have the charges dismissed , saying new hampshire was the wrong place to charge him .	3.400
the last time the survey was conducted , in 1995 , those numbers matched .	in 1995 , the last survey , those numbers were equal .	5.000
higher courts have ruled that the tablets broke the constitutional separation of church and state .	the federal courts have ruled that the monument violates the constitutional ban against state-established religion .	4.000
they were at raffles hospital over the weekend for further evaluation .	they underwent more tests over the weekend , and are now warded at raffles hospital .	3.200
when the bomb exploded at the casa de españa , customers were eating dinner and playing bingo .	at the casa de espaa , customers were eating dinner and playing bingo when a bomb went off .	5.000
plofsky said the commission wo n't investigate because the three-year statute of limitations has expired .	the panel will not begin a formal investigation because the statute of limitations has expired , plofsky said .	4.400
in two weeks , he 'll probably send out peace rules in the preakness .	frankel said peace rules will run in the preakness stakes on may 17 .	3.600
if convicted of the spying charges , he could face the death penalty .	the charges of espionage and aiding the enemy can carry the death penalty .	3.600
the technology-laced nasdaq composite index was up 7.60 points , or 0.46 percent , at 1,653.62 .	the broader standard & poor 's 500 index < . spx > shed 2.38 points , or 0.24 percent , at 995.10 .	0.800
hilsenrath and klarman each were indicted on three counts of securities fraud .	klarman was charged with 16 counts of wire fraud .	1.400
entrenched interests are positioning themselves to control the network 's chokepoints and they are lobbying the fcc to aid and abet them .	it may be dying because entrenched interests are positioning themselves to control the internet 's choke-points and they are lobbying the fcc to aid and abet them . "	3.200
but church members and observers say they expect that the decision could be problematic for many episcopalians .	but church members and observers say they anticipate that the decision here could pose doctrinal problems for some episcopalians who believe the bible prohibits homosexuality .	3.800
squyres is principal investigator for the athena payload - a collection of science instruments carted by each rover .	steve squyres , a cornell university scientist , is principal investigator for the missions ' science instruments .	4.200
the military said it had killed 12 rebels and captured nine in the campaign so far , for the loss of six soldiers wounded .	the military said it had killed 16 rebels and captured nine in the campaign so far , with one soldier killed and six wounded .	3.000
the new sensor -- dubbed canary for " cellular analysis and notification of antigen risks and yields " -- hijacks this natural process with two important changes .	the team has named the sensor canary , for cellular analysis and notification of antigen risks and yields .	3.600
express scripts esrx.o shares fell 3.6 percent to close at $ 66.89 on the nasdaq .	shares of express scripts esrx.o fell about 4 percent to $ 66.73 on the nasdaq in late morning trade .	3.000
one , fort carson-based sgt. ernest bucklew , 33 , had been on his way home to attend his mother 's funeral in pennsylvania .	sgt. ernest bucklew , 33 , was coming home from iraq to bury his mother in pennsylvania .	3.000
police launched an international hunt for shevaun pennington after she ran away with 31-year-old toby studabaker saturday .	shevaun pennington disappeared on saturday morning after arranging to meet 31-year-old toby studabaker .	3.000
lawyers and others familiar with the federal investigation say it remains focused on campbell , though prosecutors declined to discuss the probe .	while federal prosecutors refuse to discuss the investigation , lawyers and others familiar with it say it remains focused on campbell .	4.800
the dow jones industrial average . dji was off 58.69 points , or 0.64 percent , at 9,137.86 .	the blue-chip dow jones industrial average . dji fell 86.56 points , or 0.94 percent , to 9,109.99 , after giving up more than 1 percent earlier .	2.500
peace rules defeated funny cide in the louisiana derby .	but neither he nor peace rules could keep funny cide from drawing away .	2.250
waksal has pleaded guilty to securities fraud and is to be sentenced next week .	waksal pleaded guilty to insider trading charges last year , and he is scheduled to be sentenced june 10 .	3.500
he allowed two runs in seven innings and struck out six .	zambrano pitched seven innings and allowed two runs on five hits and four walks .	3.500
still , he said , " i 'm absolutely confident we 're going to have a bill . "	" i 'm absolutely confident we 're going to have a bill , " frist , r-tenn. , said thursday .	3.000
boeing said the final agreement is expected to be signed during the next few weeks .	the korean air deal is expected to be finalized " in the next several weeks , " boeing spokesman bob saling said .	3.000
shares in eds closed on thursday at $ 18.51 , a gain of 6 cents .	shares of eds closed thursday at $ 18.51 , up 6 cents on the new york stock exchange .	3.667
nationally , the federal centers for disease control and prevention recorded 4,156 cases of west nile , including 284 deaths .	there were 293 human cases of west nile in indiana in 2002 , including 11 deaths statewide .	1.667
a divided supreme court ruled monday that congress can force the nation 's public libraries to equip computers with anti-pornography filters .	the supreme court said monday the government can require public libraries to equip computers with anti-pornography filters , rejecting librarians ' complaints that the law amounts to censorship .	3.600
the weakness exists in the way that vba looks at the properties of documents passed to it when the document is opened by a host application .	the vulnerability exists in the way microsoft 's visual basic for applications checks document properties passed to it when a document is opened .	3.800
of 24 million phoned-in votes , 50.28 percent were for studdard , putting him 130,000 votes ahead of aiken .	of the 24 million phone votes cast , studdard was only 130,000 votes ahead of aiken .	3.400
consumers still would have to get a descrambling security card from their cable operator to plug into the set .	to watch pay television , consumers would insert into the set a security card provided by their cable service .	3.400
however , we have decided to opt for the european consortium 's engine as the best overall solution and due to the substantial price efforts made " .	however , we have decided to opt for the european consortium 's engine as the best overall solution . "	3.800
the food and drug administration rejected imclone 's 2001 application to sell erbitux , citing shoddy research .	the u.s. food and drug administration rejected imclone 's original application in december 2001 , saying the trial had been sloppily conducted .	2.800
critics say the law violates civil liberties , something house judiciary committee chairman james sensenbrenner , r-wis. , says he is sensitive to .	house judiciary committee chairman james sensenbrenner , r-wis. , says he is sensitive to civil liberties complaints .	3.750
the dodgers won their sixth consecutive game their longest win streak since 2001 as they edged colorado , 3-2 , wednesday in front of a crowd of 25,332 at dodger stadium .	the dodgers won their sixth consecutive game and seventh in their last nine as they beat colorado 3-2 on wednesday in front of a crowd of 25,332 at dodger stadium .	4.400
so far , they have searched pennsylvania , ohio , michigan , illinois and indiana , authorities in those state said .	so far , authorities also have searched areas in pennsylvania , ohio , indiana , and michigan .	3.750
the 30-year bond us30yt = rr firmed 31/32 , taking its yield to 4.16 percent -- another record low -- from 4.22 percent .	the 30-year bond < us30yt = rr > firmed 24/32 , taking its yield to 4.18 percent , after hitting another record low of 4.16 percent .	2.750
on thursday , a washington post article argued that a 50 basis point cut from the fed was more likely , contrary to the wall street journal 's line .	on thursday , a post article argued that a 50 basis point cut from the fed was more likely .	3.750
mr. heatley , who suffered a broken jaw and torn knee ligaments , faces several charges .	heatley underwent surgery saturday for a broken jaw and an mri found two torn ligaments in his right knee .	2.250
lay had argued that handing over the documents would be a violation of his fifth amendment rights against self-incrimination .	lay had refused to turn over the papers , asserting his fifth amendment right against self-incrimination .	3.800
strayhorn said it was the first time in texas history a comptroller had not certified the appropriations act .	in a news release thursday , strayhorn said this was the first time a comptroller rejected a budget .	3.200
excluding the charges , analysts , on average , expected a loss of 11 cents a share .	analysts polled by thomson financial first call had been expected to see a loss of about 11 cents a share from continuing operations .	3.800
security experts are warning that a new mass-mailing worm is spreading widely across the internet , sometimes posing as e-mail from the microsoft founder .	a new worm has been spreading rapidly across the internet , sometimes pretending to be an e-mail from microsoft chairman bill gates , antivirus vendors said monday .	4.800
mr sahel said police had identified the bodies of seven of the 14-strong cell believed to have carried out the five almost simultaneous attacks on saturday .	he said police had identified the bodies of seven of the 14 bombers who launched five almost simultaneous raids friday night .	4.000
only new jersey now bans holders of learners permits or intermediate licenses from using cell phones , pagers or other wireless devices while driving .	in addition , the ntsb also recommended to nhtsa that state legislation be enacted to prohibit holders of learners permits and intermediate licenses from using mobile phones while driving .	1.400
the university of michigan released today a new admissions policy after the u.s. supreme court struck down in june the way it previously admitted undergraduates .	the university of michigan plans to release a new undergraduate admissions policy thursday after its acceptance requirements were rejected by the u.s. supreme court in june .	4.200
the audiotape aired last week by the arab al-jazeera television network appears to be an effort to incite attacks .	an audiotape aired last week by the arab al-jazeera television network may be the strongest evidence yet that saddam survived the war .	1.800
former company chief financial officer franklyn m. bergonzi pleaded guilty to one count of conspiracy on june 5 and agreed to cooperate with prosecutors .	last week , former chief financial officer franklyn bergonzi pleaded guilty to one count of conspiracy and agreed to cooperate with the government 's investigation .	4.200
the company did n't detail the costs of the replacement and repairs .	but company officials expect the costs of the replacement work to run into the millions of dollars .	2.000
dean told reporters traveling on his 10-city " sleepless summer " tour that he considered campaigning in texas a challenge .	today , dean ends his four-day , 10-city " sleepless summer " tour in chicago and new york .	2.600
" i felt that if i disagreed with rosie too much i would lose my job , " she said .	cavender did say : " i felt that if i disagreed with rosie too much i would lose my job . "	3.250
the device plays internet radio streams and comes with a 30-day trial of realnetworks ' rhapsody music service .	the product also streams internet radio and comes with a 30-day free trial for realnetworks ' rhapsody digital music subscription service .	5.000
the dollar fell as low as $ 1.1624 per euro from $ 1.1486 on friday , and traded at $ 1.1594 at 10:15 a.m. in london .	the dollar dropped to $ 1.1564 per euro at 7:30 a.m. in london from $ 1.1486 on friday .	3.000
the american decision provoked an angry reaction from the european commission , which described the move as " legally unwarranted , economically unfounded and politically unhelpful " .	the european commission , the eu 's powerful executive body , described the move as " legally unwarranted , economically unfounded and politically unhelpful . "	3.750
ms. cripps-prawak left last friday , two days after the department introduced a plan to distribute medical marijuana through doctors ' offices .	the director of the office of medical access , cindy cripps-prawak , left her job after the department introduced a plan to distribute marijuana through doctors ' offices .	4.250
during 2001 and 2002 , morgenthau said , wire transfers from just four of beacon hill 's 40 accounts totaled more than $ 3.2 billion .	wire transfers from four of the 40 accounts open at beacon hill totaled more than $ 3.2 billion from 2001 to 2002 , morgenthau said .	4.750
last year , he made an unsuccessful bid for the democratic nomination for governor .	he ran last year for the democratic nomination for texas governor , but lost the primary to multimillionaire tony sanchez .	3.250
the nation 's largest retailer has told its 100 top suppliers they have to start using electronic tags on all pallets of goods by jan. 25 , 2005 .	wal-mart has told its top 100 suppliers that they 'll need to have radio-frequency id systems in place for tracking pallets of goods through the supply chain by jan. 25 , 2005 .	3.750
he was taken to a hospital for precautionary x-rays on his neck .	harvey was taken to st. luke 's hospital for precautionary neck x-rays , which came back negative .	3.250
during the hearing , morales expressed " sincere regrets and remorse " for his actions .	morales , who pleaded guilty in july , expressed " sincere regret and remorse " for his crimes .	3.800
the bill says that a woman who undergoes such an abortion could n't be prosecuted .	a woman who underwent such an abortion could not be prosecuted under the bill .	5.000
u.s. district judge edmund sargus ruled that the akron-based company should have determined that changes at one of its plants would increase overall pollution emissions .	firstenergy corp. should have determined that modernizing one of its plants would increase overall pollution emissions , u.s. district judge edmund sargus ruled thursday .	3.600
site finder has been visited 65 million times since its introduction , galvin said .	through sunday , sept. 21 , site finder has been visited over 65 million times by internet users .	3.800
there are 103 democrats in the assembly and 47 republicans .	democrats dominate the assembly while republicans control the senate .	2.000
mr pollard said : " this is a terrible personal tragedy and a shocking blow for james 's family .	nick pollard , the head of sky news said : " this is a shocking blow for james 's family .	3.400
" i came basically to washington to establish relationships and to make sure that we are getting more federal money to california , " schwarzenegger said after meeting with congressional republicans .	" i came to washington basically to establish relationships and make sure we are getting more federal money , " schwarzenegger said after one meeting .	4.200
the latest snapshot of the labor markets was slightly better than economists were expecting ; they were forecasting claims to fall no lower than 410,000 for last week .	despite problems in the job market , the latest snapshot of the labor markets was slightly better than economists were expecting .	3.400
" they were tossed around like feathers , " gordon said .	" the concrete barriers ( between lanes ) were being tossed around like feathers . "	3.000
chante jawan mallard , 27 , went on trial monday , charged with first-degree murder .	chante jawaon mallard , 27 , is charged with murder and tampering with evidence .	3.000
